# Source: Battara et al. (2020)
# LB: best lower bound
inst   J   W   LB     bils.best  bils.avg
MP058  25  15  34.02  34.22      35.12
MP059  26  11  28.63  28.63      28.63
MP060  27  11  35.35  36.68      36.68
MP061  28  11  24.56  24.56      24.56
MP062  29  14  18.73  22.02      22.26
MP063  30  11  23.88  35.40      35.40
MP064  31  14  22.95  26.30      26.33
MP065  32  12  24.25  35.54      35.89
MP066  33  9   25.24  43.94      43.94
MP067  34  15  25.88  25.88      25.98
MP068  35  15  17.86  25.98      26.45
MP069  36  13  18.84  29.88      30.07
MP070  37  9   36.35  36.35      36.35
MP071  38  12  16.12  31.09      31.09
MP072  39  9   21.70  40.40      40.40
MP073  40  10  17.62  38.72      38.72
MP074  41  13  23.47  38.34      38.85
MP075  42  14  24.32  36.56      36.64
MP076  18  12  22.76  22.93      23.09
MP077  19  15  22.61  22.78      22.78
MP078  20  13  22.95  22.95      23.17
MP079  21  13  22.93  23.00      23.15
MP080  22  10  31.36  31.36      31.36
MP081  23  13  32.60  32.60      32.80
MP082  24  13  23.45  23.45      23.58
MP083  25  14  22.80  22.80      22.80
MP084  26  12  29.90  29.90      30.30
MP085  27  11  22.40  22.40      22.40
MP086  28  12  25.43  29.10      29.10
MP087  29  14  21.24  27.69      28.40
MP088  30  13  25.16  25.16      25.16
MP089  31  11  26.52  26.52      26.52
MP090  32  14  21.13  26.45      26.62
MP091  33  15  16.16  22.22      22.56
MP092  34  12  18.74  33.18      33.66
MP093  35  10  19.33  38.04      38.04
MP094  36  12  21.76  28.45      28.50
MP095  37  12  27.04  39.53      39.53
MP096  38  12  14.57  35.97      35.97
MP097  39  9   22.34  41.99      41.99
MP098  40  13  21.86  33.95      33.95
MP099  41  14  15.74  27.86      28.13
MP100  42  10  21.90  41.22      41.22
